taxon_id	taxon_group
NCBITaxon:1484	OTHER_BACTERIAL
NCBITaxon:1485	OTHER_BACTERIAL
NCBITaxon:1492	OTHER_BACTERIAL
NCBITaxon:1493	OTHER_BACTERIAL
NCBITaxon:1496	OTHER_BACTERIAL
NCBITaxon:1501	OTHER_BACTERIAL
NCBITaxon:1513	OTHER_BACTERIAL
NCBITaxon:1520	OTHER_BACTERIAL
NCBITaxon:1521	OTHER_BACTERIAL
NCBITaxon:1525	OTHER_BACTERIAL
NCBITaxon:1553	OTHER_BACTERIAL
NCBITaxon:1570	OTHER_BACTERIAL
NCBITaxon:1578	OTHER_BACTERIAL
NCBITaxon:1579	OTHER_BACTERIAL
NCBITaxon:1582	OTHER_BACTERIAL
NCBITaxon:1587	OTHER_BACTERIAL
NCBITaxon:1590	OTHER_BACTERIAL
NCBITaxon:1596	OTHER_BACTERIAL
NCBITaxon:1599	OTHER_BACTERIAL
NCBITaxon:1624	OTHER_BACTERIAL
NCBITaxon:1628	OTHER_BACTERIAL
NCBITaxon:1639	OTHER_BACTERIAL
NCBITaxon:1654	ACTINOBACTERIAL
NCBITaxon:1663	ACTINOBACTERIAL
NCBITaxon:1664	ACTINOBACTERIAL
NCBITaxon:1667	ACTINOBACTERIAL
NCBITaxon:1685	ACTINOBACTERIAL
NCBITaxon:1696	ACTINOBACTERIAL
NCBITaxon:1697	ACTINOBACTERIAL
NCBITaxon:1701	ACTINOBACTERIAL
NCBITaxon:1703	ACTINOBACTERIAL
NCBITaxon:1709	ACTINOBACTERIAL
NCBITaxon:1710	ACTINOBACTERIAL
NCBITaxon:1716	ACTINOBACTERIAL
NCBITaxon:1717	ACTINOBACTERIAL
NCBITaxon:1718	ACTINOBACTERIAL
NCBITaxon:1720	ACTINOBACTERIAL
NCBITaxon:1730	OTHER_BACTERIAL
NCBITaxon:1736	OTHER_BACTERIAL
NCBITaxon:1743	ACTINOBACTERIAL
NCBITaxon:1744	ACTINOBACTERIAL
NCBITaxon:1747	ACTINOBACTERIAL
NCBITaxon:1751	ACTINOBACTERIAL
NCBITaxon:1763	ACTINOBACTERIAL
NCBITaxon:1764	ACTINOBACTERIAL
NCBITaxon:1765	ACTINOBACTERIAL
NCBITaxon:1766	ACTINOBACTERIAL
NCBITaxon:1768	ACTINOBACTERIAL
NCBITaxon:1769	ACTINOBACTERIAL
NCBITaxon:1770	ACTINOBACTERIAL
NCBITaxon:1771	ACTINOBACTERIAL
NCBITaxon:1772	ACTINOBACTERIAL
NCBITaxon:1773	ACTINOBACTERIAL
NCBITaxon:1774	ACTINOBACTERIAL
NCBITaxon:1777	ACTINOBACTERIAL
NCBITaxon:1782	ACTINOBACTERIAL
NCBITaxon:1783	ACTINOBACTERIAL
NCBITaxon:1785	ACTINOBACTERIAL
NCBITaxon:1789	ACTINOBACTERIAL
NCBITaxon:1809	ACTINOBACTERIAL
NCBITaxon:1813	ACTINOBACTERIAL
NCBITaxon:1814	ACTINOBACTERIAL
NCBITaxon:1816	ACTINOBACTERIAL
