standard_inchi_key	identifier	label	antimicrobial_class	slug	corpus_commit
BAEYWOSUJSUYFI-UHFFFAOYSA-N	CHEBI:69091	dihydrolicoisoflavone A	ANTIBACTERIAL	dihydrolicoisoflavone-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BAGBLRBLZUISAJ-UHFFFAOYSA-N	antibioticmech:aro-b0e6c47827	amythiamicin A	ANTIBACTERIAL	amythiamicin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BAIPOTOKPGDCHA-MWBHXQFBSA-N	CHEBI:141380	indanomycin	ANTIBACTERIAL	indanomycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BAUQXSYUDSNRHL-UHFFFAOYSA-N	CHEBI:83663	pyrimorph	ANTIFUNGAL	pyrimorph	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BAZVSMNPJJMILC-UHFFFAOYSA-N	CHEBI:9666	triadimenol	ANTIFUNGAL	triadimenol	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BBAWEDCPNXPBQM-GDEBMMAJSA-N	CHEBI:68595	telaprevir	ANTIVIRAL	telaprevir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BBLGCDSLCDDALX-LKGBESRRSA-N	CHEBI:138511	piericidin A	ANTIMICROBIAL_UNSPECIFIED	piericidin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BBMULGJBVDDDNI-OWKLGTHSSA-N	CHEBI:92181	lasalocid	ANTIPROTOZOAL	lasalocid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BBPNJGRZPSCZBB-UHFFFAOYSA-N	CHEBI:66479	siamenol	ANTIVIRAL	siamenol	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BBXXLROWFHWFQY-UHFFFAOYSA-N	CHEBI:81989	ethirimol	ANTIFUNGAL	ethirimol	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BBZGOLNDVQZCIH-UHFFFAOYSA-N	CHEBI:65739	O-demethylbuchenavianine	ANTIVIRAL	o-demethylbuchenavianine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BCEHBSKCWLPMDN-MGPLVRAMSA-N	CHEBI:10023	voriconazole	ANTIFUNGAL	voriconazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BCKHSEAEFWMDKN-JBUYWEPMSA-N	antibioticmech:aro-36682fe25f	cadaside B	ANTIBACTERIAL	cadaside-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BCTQJXQXJVLSIG-UHFFFAOYSA-N	CHEBI:81823	mepronil	ANTIFUNGAL	mepronil	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BDAGIHXWWSANSR-UHFFFAOYSA-N	CHEBI:30751	formic acid	ANTIBACTERIAL	formic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BDBRZURCDWHOCK-GBALPHGKSA-N	CHEBI:66612	isonordoperoxide	ANTIPROTOZOAL	isonordoperoxide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BDBRZURCDWHOCK-SEWBAHNZSA-N	CHEBI:66611	nardoperoxide	ANTIPROTOZOAL	nardoperoxide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BDJRBEYXGGNYIS-UHFFFAOYSA-N	CHEBI:48131	nonanedioic acid	ANTIBACTERIAL	nonanedioic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BDNWOBBVDVIJGL-PRAQEBQASA-N	antibioticmech:aro-b3c99ef3d8	formicamycin C	ANTIBACTERIAL	formicamycin-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
