old_taxon_id	new_taxon_id	requested_by
NCBITaxon:204815	NCBITaxon:433688	lotus
NCBITaxon:205783	NCBITaxon:2925186	lotus
NCBITaxon:206677	NCBITaxon:270617	lotus
NCBITaxon:209142	NCBITaxon:1340007	lotus
NCBITaxon:209145	NCBITaxon:1339972	lotus
NCBITaxon:213401	NCBITaxon:54731	lotus
NCBITaxon:213632	NCBITaxon:3158555	chebi_origins,mibig
NCBITaxon:217300	NCBITaxon:693315	chebi_origins
NCBITaxon:220799	NCBITaxon:1144692	chebi_origins
NCBITaxon:222511	NCBITaxon:2566060	lotus
NCBITaxon:224695	NCBITaxon:2607214	lotus
NCBITaxon:227045	NCBITaxon:37940	lotus
NCBITaxon:237151	NCBITaxon:3290687	chebi_origins
NCBITaxon:237631	NCBITaxon:5270	mibig
NCBITaxon:243805	NCBITaxon:2741401	lotus
NCBITaxon:246711	NCBITaxon:1905021	lotus
NCBITaxon:247908	NCBITaxon:2816372	lotus
NCBITaxon:252548	NCBITaxon:674295	lotus
NCBITaxon:253215	NCBITaxon:2775156	lotus
NCBITaxon:253747	NCBITaxon:126675	chebi_origins
NCBITaxon:253763	NCBITaxon:272675	lotus
NCBITaxon:255780	NCBITaxon:5052	chebi_origins,lotus
NCBITaxon:255781	NCBITaxon:1884262	lotus
NCBITaxon:257541	NCBITaxon:3740757	lotus
NCBITaxon:257814	NCBITaxon:2608709	lotus
NCBITaxon:259302	NCBITaxon:206448	chebi_origins,lotus
NCBITaxon:261702	NCBITaxon:314040	chebi_origins,lotus
NCBITaxon:262756	NCBITaxon:36012	lotus
NCBITaxon:263241	NCBITaxon:2806839	lotus
NCBITaxon:264192	NCBITaxon:2919360	chebi_origins,lotus
NCBITaxon:268114	NCBITaxon:77561	lotus
NCBITaxon:271456	NCBITaxon:2824907	lotus
NCBITaxon:271752	NCBITaxon:3046148	lotus
NCBITaxon:279009	NCBITaxon:2696576	chebi_origins,lotus
NCBITaxon:282935	NCBITaxon:1087051	chebi_origins
NCBITaxon:285112	NCBITaxon:162410	chebi_origins,lotus
NCBITaxon:285533	NCBITaxon:68042	lotus
NCBITaxon:285570	NCBITaxon:67282	chebi_origins,lotus
