standard_inchi_key	smiles	pathway_results	superclass_results	class_results	is_glycoside	model_version
FQTQHIPDGYFJJA-GDBMZVCRSA-N	C/C(=C\COC1C=CC(C[C@]23C(=O)N[C@H](SS2)C(=O)N3)=CC=1)/C	Alkaloids|Amino acids and Peptides	Peptide alkaloids	Simple diketopiperazine alkaloids	false	npclassifier.gnps2.org@2026-09-07
FQXXSQDCDRQNQE-VMDGZTHMSA-N	CN1CC[C@]23[C@@H]4C(=CC=C2[C@H]1CC5=C3C(=C(C=C5)OC)O4)OC	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids|Morphinan alkaloids	false	npclassifier.gnps2.org@2026-09-07
FRCJDPPXHQGEKS-BCHFMIIMSA-N	C[C@H]1OC(C2=CC=CC=C2O)=N[C@@H]1C(=O)N(CCCCNC(=O)C1=C(O)C(O)=CC=C1)CCCNC(=O)C1=C(O)C(O)=CC=C1	Alkaloids	Ornithine alkaloids	Polyamines	false	npclassifier.gnps2.org@2026-09-07
FREYOSGVWPNHDE-DGMWAQSLSA-N	OC1=CC=C(CC2NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(C(CCCCCCCCCCCCC)OC3C(O)C(OC4OC(O)C(O)C(O)C4NC(=O)C)C(O)CO3)O)C(C)O)C(C)OC(=O)C(CC3=CC=C(O)C=C3)NC(=O)C(C(C)OC3OC(COC(=O)C)C(O)C(O)C3OC(=O)C)N(C)C(=O)CNC(=O)C(CCC(=O)N)NC(=O)/C(=C/C)/NC2=O)C(O)C)C=C1	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides|Lipopeptides	true	npclassifier.gnps2.org@2026-09-07
FRFRWOXVYJSPCG-RLLVAITOSA-N	COC1CC2=NC(=CO2)C(=O)OC(C\C=C/C2OC2\C=C\C=C/C2=NC(=CO2)C(=O)OC(C\C=C/C=C\C=C\1)C(C)(C)C(O)\C=C\C)C(C)(C)C(O)\C=C\C	Polyketides	Macrolides	Polyene macrolides	false	npclassifier.gnps2.org@2026-09-07
FRJSECSOXKQMOD-NLPFYKDJSA-N	C/C1=C/CC[C@@]2(C)CC/C3=C(C)/CCC(CC12)[C@]3(C)C	Terpenoids	Diterpenoids	Taxane diterpenoids|Verticillane diterpenoids	false	npclassifier.gnps2.org@2026-09-07
FRJVEVHOMWPHHN-UHFFFAOYSA-N	CCC(C)C(C(=O)NCC(=O)NC(C(C)O)C(=O)N1CCCC1C(=O)NC(C(C)CC)C(=O)NC(CO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NCC(=O)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C6CCC(=O)NCC(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N7CCCC7C(=O)N6)C(C)C)CC8=CN=CN8)C	Amino acids and Peptides	Oligopeptides	RiPPs-Lasso peptides|RiPPs-Microcins	false	npclassifier.gnps2.org@2026-09-07
FRMXVRMEEBFTBC-UHFFFAOYSA-O	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O	Amino acids and Peptides	Oligopeptides	Cyclic peptides	false	npclassifier.gnps2.org@2026-09-07
FRTUVWLJPRMTFC-UHFFFAOYSA-N	O=C(NCCCCNC(=O)C(CCCCNC(=O)C1=C(O)C(O)=CC=C1)NC(=O)C1=C(O)C(O)=CC=C1)C1=C(O)C(O)=CC=C1	Alkaloids	Ornithine alkaloids	Polyamines	false	npclassifier.gnps2.org@2026-09-07
FRWGWNOXEVMHFJ-NROGLJKMSA-N	CC(C)=CC(=O)CC/C=C/CC(=O)N[C@H](CN(C)C)C(=O)N[C@H](C(=O)N1C(=O)C(C)=C(O)[C@@H]1CC(C)C)C(C)C	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
FRXNXDHFQYZYNA-XYHSJSFUSA-N	C[C@H]1C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]2CCN=C(N)N2)C(NC[C@H](N)C(N1)=O)=O)=O)=C\NC(N)=O)=O)=O	Amino acids and Peptides	Oligopeptides	Cyclic peptides	false	npclassifier.gnps2.org@2026-09-07
FRXZTKQCZPGFDX-UHFFFAOYSA-N	CC1=C2C(=O)C=C3C(C)(C)C(=O)C4=C(O)C=C(O)C5=C4C3(O)C2=C(C(O)=C1)C5=O	Polyketides	Polycyclic aromatic polyketides	Anthraquinones and anthrones	false	npclassifier.gnps2.org@2026-09-07
FSBWLHLWIYLPKF-TUMZLJIFSA-N	[C@@H]1(C)[C@H](O)[C@H](O)[C@]2(O)C3C(=O)C=C4C(=O)c5c(CCC)nc(C)cc5C4=C(O)C=3O[C@]2([H])O1	Polyketides	Tropolones	Tropolones and derivatives (PKS)	false	npclassifier.gnps2.org@2026-09-07
FSDLITFTXNPSSN-UHFFFAOYSA-N	CC1=C2C(=CO1)C(=O)C3=CC(=C(C(=C3C2=O)O)OC)OC	Polyketides	Naphthalenes	Naphthoquinones	false	npclassifier.gnps2.org@2026-09-07
FSKFLBQJBSQQKA-DMZCBJAKSA-N	C=C(C)[C@H]1CC[C@]2(C)[C@@H]1CC[C@]1(C)C/C=C(\C(=O)O)CC/C=C(\C)CC[C@H]12	Terpenoids	Diterpenoids	Valparane diterpenoids	false	npclassifier.gnps2.org@2026-09-07
FTAYPCXSKPQUML-SOWPABPFSA-N	C[C@@H]1[C@H](/C=C/O[C@@]2(C(=O)C3=C(O2)C(=C(C4=C3C(=C(C5=C4O[C@@](CC(=O)[C@@H]6C[C@@H]6[C@@H]([C@H]([C@H]([C@H]([C@@H]1O)C)O)C)O)(C(=O)N5)C)O)O)O)C)C)OC	Polyketides	Macrolides	Ansa macrolides	false	npclassifier.gnps2.org@2026-09-07
FTGOWEQDZZMPNJ-GUMZKTDUSA-N	C[C@H]1[C@@H](C[C@@H]([C@]2(CO2)[C@H](C[C@@H]3CC=C[C@H](O3)C[C@H]([C@H](/C=C(/C=C/C(=O)O[C@@H]1[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)O)\C)O)OC)OC)OC)OC	Polyketides	Macrolides	Macrolide lactones	false	npclassifier.gnps2.org@2026-09-07
FTMOEUBKRZXYEX-UHFFFAOYSA-N	ClC1=CC2=C(C=C1)[NH]C1=C2C=CC2=C1[NH]C1=CC=CC=C12	Alkaloids	Tryptophan alkaloids	Carbazole alkaloids|Carboline alkaloids	false	npclassifier.gnps2.org@2026-09-07
FTTQBBNJVTYJPS-AATRIKPKSA-N	CC1=CC(=C(C=C1)C(C)C(C(C)C(=O)C)O)/C=C/CO	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids	false	npclassifier.gnps2.org@2026-09-07
FTVWIRXFELQLPI-UHFFFAOYSA-N	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	Shikimates and Phenylpropanoids	Flavonoids	Flavanones	false	npclassifier.gnps2.org@2026-09-07
FUCBQNSQRCPSGC-BOUYHWOHSA-N	CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N=C(N)N	Amino acids and Peptides	Small peptides	Tripeptides	false	npclassifier.gnps2.org@2026-09-07
FUCYIEXQVQJBKY-UKRRQHHQSA-N	CC1=C[C@@H]2[C@H](CCC(=C2CC1)C)C(C)C	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	false	npclassifier.gnps2.org@2026-09-07
FUDJQSGQMGPRDW-MQXFELJLSA-N	C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O	Alkaloids|Amino acids and Peptides|Polyketides	Peptide alkaloids|Linear polyketides	DKXanthenes and derivatives|Simple amide alkaloids	false	npclassifier.gnps2.org@2026-09-07
FUKGOKWLYPYDLI-FSVKZPRASA-N	CC(C)C[C@@H]1NC(=O)[C@@H]2CC(=O)O[C@H](C)[C@H](NC(=O)[C@H](CC3=C[NH]C4=CC=CC=C34)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)CCC(=O)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC3=CC=C(O)C=C3)C(=O)N[C@H]3CCCCNC(=O)C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)NC(=O)[C@H](CCC(=O)OC[C@H](NC(=O)[C@@H]4CCCC4C(=O)[C@H](CC4=CC=CC=C4)NC3=O)C(=O)N2)NC1=O	Amino acids and Peptides	Oligopeptides	Cyclic peptides|Depsipeptides|RiPPs-Lanthipeptides	false	npclassifier.gnps2.org@2026-09-07
