standard_inchi_key	cid	aid	assay_name	assay_type	depositor	activity_outcome	activity_name	activity_value_um	target_accession	reference
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743209	qHTS assay for small molecule activators of the heat shock response signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	33.4147		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743209	qHTS assay for small molecule activators of the heat shock response signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	7.1523		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743210	qHTS assay for small molecule activators of the heat shock response signaling pathway	Confirmatory	824	Inconclusive	Potency	10.5666	NP_001531	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743210	qHTS assay for small molecule activators of the heat shock response signaling pathway	Confirmatory	824	Active	Potency	14.2707	NP_001531	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743211	qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	52.9587		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743212	qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway	Confirmatory	824	Inconclusive	Potency	37.4919	BAH02282	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743213	qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	10.5666		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743217	qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway	Confirmatory	824	Inconclusive	Potency	8.3934	ADZ17382	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743217	qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway	Confirmatory	824	Inconclusive	Potency	25.3772	ADZ17382	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743218	qHTS assay to identify small molecule agonists of the farnesoid-X-receptor (FXR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	0.0839		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743218	qHTS assay to identify small molecule agonists of the farnesoid-X-receptor (FXR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	17.9657		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743219	qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway: Summary	Summary	824	Inconclusive	Potency	6.82245	NP_006155	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743220	qHTS assay to identify small molecule agonists of the farnesoid-X-receptor (FXR) signaling pathway	Confirmatory	824	Inconclusive	Potency	52.9587	ADZ17382	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743222	qHTS assay to identify small molecule agonists of the vitamin D receptor (VDR) signaling pathway	Confirmatory	824	Inconclusive	Potency	47.1995	BAH02291	
