organism_name	taxon_id	name_class	requested_by
Annona cristalensis	NCBITaxon:3750943	scientific name	lotus
Annona densicoma	NCBITaxon:2998650	scientific name	lotus
Annona dioica	NCBITaxon:2986273	scientific name	lotus
Annona diversifolia	NCBITaxon:1217401	scientific name	lotus
Annona glauca	NCBITaxon:3436506	scientific name	lotus
Annona haematantha	NCBITaxon:2998656	scientific name	lotus
Annona jahnii	NCBITaxon:2998659	scientific name	lotus
Annona monticola	NCBITaxon:3040809	scientific name	lotus
Annona neolaurifolia	NCBITaxon:2998620	scientific name	lotus
Annona neoulei	NCBITaxon:2945004	scientific name	lotus
Annona nutans	NCBITaxon:3040812	scientific name	chebi_origins,lotus
Annona salzmannii	NCBITaxon:2998672	scientific name	lotus
Annona tomentosa	NCBITaxon:1385696	scientific name	lotus
Annona warmingiana	NCBITaxon:2998673	scientific name	lotus
Anochetus kempfi	NCBITaxon:602487	scientific name	lotus
Anomianthus dulcis	NCBITaxon:174962	synonym	lotus
Anoplophora malasiaca	NCBITaxon:3680197	scientific name	lotus
Anredera vesicaria	NCBITaxon:3751019	scientific name	lotus
Anthemis austriaca	NCBITaxon:589814	synonym	lotus
Anthemis segetalis	NCBITaxon:589835	synonym	lotus
Anthemis tinctoria	NCBITaxon:99028	synonym	lotus
Anthemis triumfetti	NCBITaxon:158232	synonym	lotus
Antheroporum pierrei	NCBITaxon:1993783	scientific name	chebi_origins
Anthocercis genistoides	NCBITaxon:3751101	scientific name	lotus
Anthocleista djalonensis	NCBITaxon:3751105	scientific name	lotus
Anthocleista vogelii	NCBITaxon:84938	scientific name	chebi_origins
Anthriscus nitidus	NCBITaxon:109081	synonym	lotus
Anthurium barclayanum	NCBITaxon:3751290	scientific name	lotus
Anthurium versicolor	NCBITaxon:3752332	scientific name	lotus
Anthurium wagenerianum	NCBITaxon:3752346	scientific name	lotus
Anthyllis onobrychioides	NCBITaxon:181248	synonym	lotus
Anthyllis subsimplex	NCBITaxon:3083820	scientific name	lotus
Antillogorgia kallos	NCBITaxon:3097295	scientific name	lotus
