organism_name	requested_by
Calycera crassifolia var. spinulosa	lotus
Calycocorsus stipitatus	lotus
Calycolpus warscewiczianus	chebi_origins
Calyptranthes williamsii	lotus
Calystegia krauseana	lotus
Camellia vernalis	lotus
Caminus sphaeroconia	lotus
Camonea bifida	lotus
Camonea pilosa	lotus
Campanula betulaefolia	lotus
Campylopus japonicus	lotus
Canarium luzonicum	lotus
Canscora decussata	chebi_origins
Canscora lucidissima	chebi_origins
Capnella erecta	lotus
Capnella lacertiliensis	lotus
Capsicum annuum var. fasciculatum	lotus
Caragana sophorifolia	lotus
Carapichea klugii	lotus
Cardiagyris scabra	lotus
Carex austrotenella	lotus
Carex unciniiformis	lotus
Carica pentagona	chebi_origins
Carissa inermis	lotus
Carramboa wurdackii	lotus
Cascabela thevetioides	lotus
Casearia sylvestris var. lingua	lotus
Cassia fastuosa	lotus
Cassia javanica var. javanica	lotus
Cassia quinquangulata	chebi_origins
Cassia torosa	chebi_origins
Castilleja angustifolia var. dubia	lotus
Castilleja linariaefolia	lotus
Castilleja minor var. exilis	lotus
Castilleja rubicundula var. lithospermoides	lotus
Catarraphia dictyoplaca	lotus
Catopsilia crocale	lotus
Cayaponia angustiloba	lotus
Celastrus stephanotifolius	lotus
Celtis chinensis	chebi_origins
Celtis philippinensis	lotus
Centaurea aegyptiaca	lotus
Centaurea attica	lotus
Centaurea besseriana	lotus
Centaurea bornmuelleri	lotus
Centaurea derventana	lotus
Centaurea formanekii Halácsy	chebi_origins
Centaurea gradata	lotus
Centaurea kernerana	lotus
Centaurea marschalliana	lotus
Centaurea micranthos	lotus
Centaurea musimomum	lotus
Centaurea nicaeensis	lotus
Centaurea rothmalerana	lotus
Centaurea seridis	lotus
Centaurea sessilis	lotus
Centaurea sonchifolia	lotus
Centaurea sphaerocephala	lotus
Centaurea spruneri	lotus
Centaurium linariifolium	chebi_origins
Centella eriantha	lotus
Cephalaria coriacea	lotus
Cephalaria procera	lotus
Cephalaria transsylvanica	lotus
Ceraeochrysa smithi	lotus
Ceramium boydeni	lotus
Ceratiomyxa fruticulosa var. fruticulosa	lotus
Ceratocapnos turbinata	lotus
Ceratocephalus testiculatus	lotus
Ceratocystis ips	lotus
Ceratopycnidium baccharidicola	lotus
Cercospora scirpi	lotus
Cercospora traversiana	lotus
Cercospora traversoana	lotus
Cercospora uredinophila	lotus
Cercosporella acetosella	lotus
Ceropegia flava	lotus
Ceropegia gordonii	lotus
Ceropegia mixta	lotus
Ceropegia penicillata	lotus
Ceropegia plicatiloba	lotus
