organism_name	requested_by
Lobophytum michaelae	lotus
Lolium cuneatum	chebi_origins
Lomariocycas palmiformis	lotus
Lomatophyllum occidentalis	lotus
Lonchocarpus neuroscapha	chebi_origins
Lonchocarpus nicou	lotus
Lonchocarpus orotinus	lotus
Lophionema vermisporum	lotus
Lophocladia lallemandii	lotus
Lophocolea subporosa	lotus
Lophozia barbata	lotus
Lophozia hatcheri	lotus
Lora quadra	lotus
Loranthus parasiticus ( L. ) Merr.	chebi_origins
Lotononis curvicarpa	lotus
Lotononis purpurascens	lotus
Luffa cylindrica	lotus
Lupinus argenteus var. laxiflorus	lotus
Lupinus argenteus var. palmeri	lotus
Lupinus consentinii	lotus
Lupinus gussoneanus	lotus
Lupinus hilarianus	lotus
Lupinus hirsutus	lotus
Lupinus hybridus	lotus
Lupinus paniculatus	lotus
Lupinus varius	lotus
Luvunga sarmentosa	chebi_origins,lotus
Lychnophora bahiensis	lotus
Lychnophora columnaris	lotus
Lychnophora pseudovillosissima	lotus
Lychnophora trichocarpha	lotus
Lycopodium carolinum	lotus
Lyngbya [Lyngbya]wollei	cyanometdb
Lyngbya n.a.	cyanometdb
Lyngbya/Moorea bouillonii	cyanometdb
Lyngbya/Moorea majuscula/producens	cyanometdb
Lyngbya/Moorea n.a.	cyanometdb
Lyngbya/Moorea; Schizothrix [Lyngbya/Moorea]majuscula/producens	cyanometdb
Lyngbya/Moorea; Tolypothrix [Lyngbya/Moorea]majuscula/producens; [Tolypothrix]sp.	cyanometdb
Lyophyllum cinerascens	lotus
Lythrum alatum var. lanceolatum	lotus
Maackia amurensissubsp.buergeri	chebi_origins
Mabea caudata	lotus
Macaranga mappa	lotus
Macaranga pleiostemona	lotus
Macaranga sinensis	lotus
Machaerium vestitum	lotus
Machilus odoratissima	lotus
Machilus odoratissimus	lotus
Maclura aurantiaca	lotus
Macrophoma castaneicola	lotus
Macrotyloma biflorum var. biflorum	lotus
Magnolia arcabucoana	lotus
Magnolia fraseri var. pyramidata	lotus
Magnolia mutabilis	lotus
Magnolia rajaniana	lotus
Magnolia wieseneri	lotus
Magnolia ×soulangeana	lotus
Mahonia borealis	lotus
Mahonia sheridaniana	lotus
Malesherbia humilis var. propinqua	lotus
Malesherbia lirana var. bracteata	lotus
Malesherbia multiflora	lotus
Mallotus philippinensis	lotus
Malpighia punicifolia	lotus
Malva kashmiriana	lotus
Malva subovata	lotus
Malvastrum coromandelinum	lotus
Mammea harmandii	lotus
Mandevilla pavonii	lotus
Marasmiellus troyanus	lotus
Marchantia palmata	lotus
Marchantia plicata	lotus
Mariosousa heterophylla	lotus
Marlierea schottii	lotus
Marsypianthes glomerata	lotus
Martinjahnsia resendei	lotus
Marumia rhodocarpa	lotus
Matricaria pubescens	chebi_origins,lotus
Matricaria tenuifolia	lotus
Matsucoccus josephi	lotus
Maytenus jelskii	lotus
Maytenus retusa	lotus
Maytenus scutioides	lotus
Mediaster murrayi	lotus
Medicago glutinosa	lotus
Medicago nigra	lotus
Medicago rupestris	lotus
Medinilla clarkei	lotus
Medinilla scortechinii	lotus
Melaleuca parviflora	lotus
Melampodium camphoratum	lotus
Melampyrum elatius	lotus
Melanconis thelebola	lotus
Melanogramma	lotus
Melastoma molle	lotus
Melastoma schizocarpum	lotus
Melilotus neapolitana	lotus
Melithaea undulata	lotus
Melodinus celastroides	lotus
Melodinus guillauminii	lotus
Melodinus hemsleyanus	chebi_origins,lotus
Melodinus insulae-pinorum	lotus
Melodinus khasianus	chebi_origins,lotus
Melodinus phylliraeoides	lotus
Melodinus scandens	lotus
Melodinus yunnanensis	lotus
Mendoncia coccinea	lotus
Menegazzia asahinae	lotus
Menegazzia dispora	lotus
Menegazzia platytrema	lotus
Mensamaria intercedens	lotus
Mentha crispa	lotus
Mentha insularis	lotus
Mentha lavandulacea	chebi_origins
Mentha piperita piperita	lotus
Mentha timija	lotus
Mentzelia cordifolia	lotus
Merendera sobolifera	lotus
Mesophyllum fragilissimum	lotus
Mespilodaphne bullata	lotus
Mespilodaphne cymosa	lotus
Mespilodaphne pulchella	lotus
Mesua beccariana	lotus
Mesua elegans	lotus
Mesua myrtifolia	lotus
Metapochonia parasitica	lotus
Miconia spicata	lotus
Microascus tardifaciens	lotus
Microbispora aerata	lotus
Microchaete loktakensis	cyanometdb,lotus
Microcoleus lacustris	cyanometdb,lotus
Microcoleus lyngbyaceus	cyanometdb,lotus
Microcystis Izancya	cyanometdb
Microcystis n.a.	cyanometdb
Microcystis; Dolichospermum/Anabaena [Microcystis]sp.; [Dolicospermum]sp.	cyanometdb
Microgramma vaccinifolia	lotus
Microlepia pilosiuscula	lotus
Micromeria parviflora	lotus
Microscleroderma spirophora	lotus
Microseira n.a.	cyanometdb
Microzonia phinneyi	lotus
Mikania cynanchifolia	lotus
Mikania houstoniana	lotus
Mikania minima	lotus
Mikania urticaefolia	lotus
Milletia laurentii	chebi_origins
Millettia hemsleyana	lotus
Millettia ovalifolia	lotus
Millettia rubiginosa	lotus
Minabea	lotus
Mitracarpus scaber	chebi_origins
Mniopetalum	lotus
Mollisia gigantea	lotus
Monanchora dianchora	lotus
Monanchora pulchra	lotus
Monascus olei	lotus
Monechma debile	lotus
Monerolechia californica	lotus
Monochaetia compta	lotus
Monodictys fluctuata	lotus
Monotes africana	lotus
Montana elegans	lotus
Montanoa rosei	lotus
Monteverdia amazonica	lotus
Monteverdia chiapensis	lotus
Monteverdia cuzcoina	lotus
Monteverdia fugax	lotus
Monteverdia guyanensis	lotus
Monteverdia horrida	lotus
Monteverdia krukovii	lotus
Monteverdia laevis	lotus
Monteverdia loeseneri	lotus
Monteverdia retusa	lotus
Monteverdia tetragona	lotus
Moquilea licaniaeflora	lotus
Morella arborea	lotus
Morpho adonis	lotus
Morus mongolica var. yunnanensis	lotus
Mosla soochouensis	lotus
Mucuna imbricata	lotus
Murraya crenulata	lotus
Murraya gleniei	lotus
Musa cavendishii	lotus
Mycale izuensis	lotus
Mycale micracanthoxea	lotus
Mycale tenuis	lotus
Mycale tenuispiculata	lotus
Mycosphaerella henningsii	lotus
Myelochroa rhytidodes	lotus
Myrcia neopallens	lotus
Myrcia schottii	lotus
Myristica dactyloides	lotus
Myrmekioderma dendyi	lotus
Myrmicaria natalensis eumenoides	lotus
Nannizzia cajetana	lotus
Narcissus angustifolius	lotus
Nardia subclavata	lotus
Nardoa gomophia	lotus
Nardoa tuberculata	lotus
Nasutitermes havilandi	lotus
Nauclea pobeguinii	lotus
Nectandra ramonensis	lotus
Nectria selenosporii	lotus
Nemalion helminthoides	lotus
Neoesperiopsis digitata	lotus
Neolitsea daibuensis	chebi_origins,lotus
Neolitsea lanuginosa	lotus
Neolyngbya Neolyngbya	cyanometdb
Neomeris annulata	lotus
Neomirandea arthodes	lotus
Neomirandea guevarii	lotus
Neoplaconema napelli	lotus
Neoraputia magnifica	lotus
Neoraputia paraensis	lotus
Neothyone gibbosa	lotus
Neotyphodium starrii	lotus
Nepalese propolis	chebi_origins
Nepeta cilicia	lotus
Nepeta saturejoides	lotus
Nepeta teydea	lotus
Nephroma n.a.	cyanometdb
Nephromopsis andrejevii	lotus
Nephromopsis cucullata	lotus
Neptunia amplexicaulis	lotus
Nerine huttonii	lotus
Neurospora longispora	lotus
Neurospora multiforis	lotus
Nicotiana longibracteata	lotus
Nicotiana obtusifolia var. obtusifolia	lotus
Nicotiana silvestris	chebi_origins
Niphates caycedoi	lotus
Niphates lunisimilis	lotus
Nissolia fruticosa	lotus
Nitrosalsola micranthera	lotus
Nitrosalsola orientalis	lotus
Nodularia harvevana	cyanometdb
Nodularia n.a.	cyanometdb
Nostoc [Nostoc]commune	cyanometdb
Nostoc commune Vauch	cyanometdb
Nostoc cyanobacterial mat	cyanometdb
Nostoc linckia (Roth) Bornet	cyanometdb
Nostoc n.a.	cyanometdb
Nostoc shaericum	cyanometdb
Nostoc sp. n.a.	cyanometdb
Nostoc; Anabaena; Nodularia n.a.	cyanometdb
Nostoc; Anabaena; Nodularia; Trichodesmium [Anabaena]doliolum; [Nodularia]baltica; [Nodularia]harveyana; [Nodularia]spumigene	cyanometdb
Nostoc; Leptolyngbya [Nostoc]sp.; [Leptolyngbya]sp.	cyanometdb
Nostoc; Microcystis [Nostoc]sp.; [Microcystis]aeruginosa	cyanometdb
Nostocales n.a.	cyanometdb
Notholaena candida var. copelandii	lotus
Notholaena galapagensis	lotus
Nothoscordum bivalve var. bivalve	lotus
Notoparmelia norcrambidiocarpa	lotus
Nuphar japonicum	lotus
Nymphaea maculata	lotus
Nymphaea × marliacea	lotus
Nymphoides grayanum	lotus
Oceanapia phillipensis	lotus
Oceanapia ramsayi	lotus
Oceanapia sagittaria	lotus
Oceanapia triangulata	lotus
Ochna gamblei	lotus
Ochna pumila	lotus
Ochrocarpos odoratus	lotus
Ochrolechia deceptionis	lotus
Ochrosia mulsantii	lotus
Ocimum centraliafricanum	lotus
Ocimum grandiflorum	lotus
Ocimum micranthum	lotus
Ocotea costulata	lotus
Ocotea duckei	lotus
Ocotea holdridgeiana	lotus
Odontosoria gymnogrammoides	lotus
Odontotermes magdalenae	lotus
Odyendyea klaineana	lotus
Oenopota quadra	lotus
Oenothera clavaeformis	lotus
Oenothera missouriensis	lotus
Oenothera purpusii	lotus
Oenothera striata	lotus
Oenothera strigosa	lotus
Oeosporangium kuhnii	lotus
Okeania hirsute	cyanometdb
Okeania n.a.	cyanometdb
Oleandra neriifolia	lotus
Oligonychus bessardi	lotus
Oncodostigma monosperma	chebi_origins
Oncosiphon suffruticosum	lotus
Ononis subspicata	lotus
Onopordum corymbosum	lotus
Onopordum macrocanthum	lotus
Oospora astringens	lotus
Oospora colorans	lotus
Oospora virescens	lotus
Ophiocoma riisei	lotus
Ophioderma longicaudum	lotus
Ophiorrhiza bracteata	lotus
Ophiorrhiza remotiflora	lotus
Ophistreptus levis	lotus
Ophiura leptoctenia	lotus
Ophiura sarsi	lotus
Ophryosporus piquerioides	lotus
Opisthoncus bellus	lotus
Opopanax chironius	lotus
Opuntia humifusa humifusa	lotus
Opuntia humifusa var. humifusa	lotus
Opuntia vulgaris	lotus
Orbivestus leopoldii	lotus
Oreocarya virginiensis	lotus
Oriciopsis glaberrima	chebi_origins
Origanum adanense	lotus
Origanum intercedens	lotus
Origanum majoricum	lotus
Origanum paniculatum	lotus
Orina	lotus
Orinella	lotus
Orobanche rapum	lotus
Orthosiphon grandiflorus	lotus
Oryctes monoceros	lotus
Oryza aristata	lotus
Osbeckia cupularis	lotus
Oscillatoria borneti	lotus
Oscillatoria erythraea	lotus
Oscillatoria late-virens	cyanometdb
Oscillatoria n.a.	cyanometdb
Oscillatoria nigroviridis	cyanometdb
Oscillatoria raoi	lotus
Oscillatoria simplicissima	cyanometdb
Oscillatoria thiebautii	lotus
Oscillatoria variabilis	lotus
Oscillatoria/Planktothrix acutissima	cyanometdb
Oscillatoria/Planktothrix agardhii	cyanometdb
Oscillatoria/Planktothrix formosa	cyanometdb
Oscillatoria/Planktothrix limosa	cyanometdb
Oscillatoria/Planktothrix margaritifera	cyanometdb
Oscillatoria/Planktothrix n.a.	cyanometdb
Oscillatoria/Planktothrix nigro-viridis	cyanometdb
Oscillatoria/Planktothrix raoi	cyanometdb
Oscillatoria/Planktothrix rosea	cyanometdb
Oscillatoria/Planktothrix rubescens	cyanometdb
Oscillatoria/Planktothrix sancta	cyanometdb
Oscillatoria/Planktothrix serta	cyanometdb
Oscillatoria/Planktothrix sp.; agardhii	cyanometdb
Oscillatoria; Tolypothrix; Calothrix; Nostoc [Oscillatoria]sp.; [Tolypothrix]sp.; [Calothrix]sp.; [Nostoc]sp.	cyanometdb
Oscillatoriales Lyngbya	cyanometdb
Osmundaria volubilis	lotus
Osteospermum barberae	lotus
Osteospermum caulescens	lotus
Osteospermum imbricatum	lotus
Othonna filicaulis	lotus
Oudemansiella melanotricha	lotus
Oxalis erythrorhiza	chebi_origins,lotus
Oxandra major	lotus
Oxera morieri	lotus
Oxylobium lanceolatum	lotus
Oxynoe olivacea	lotus
Oxystelma wallichii	lotus
Ozothamnus dendroideus	lotus
Pachybasium candidum	lotus
Pachybolus brachysternus	lotus
Pachycentria varingiaefolia	lotus
Pachylobus trimerus	lotus
Pachyrrhizus erosus	lotus
Pacifigorgia pulchra	lotus
Padina pavonia	lotus
Paecilomyces militaris	lotus
Paepalanthus robustus	lotus
Paesia anfractuosa	lotus
Palafoxia texana var. ambigua	lotus
Palicourea adusta	lotus
Palicourea coriacea	lotus
Palicourea dichroa	lotus
Palicourea semirasa	lotus
Palythoa liscia	lotus
Palythoa mammillosa	lotus
Palythoa; Trichodesmium/Oscillatoriales [Palythoa]tuberculosa; [Trichodesmium]toxica	cyanometdb
Panaeolus goossensiae	lotus
Panax bipinnatifidus var. bipinnatifidus	lotus
Panax trifoliatus	lotus
Pannaria implexa	lotus
Pannaria leproloma	lotus
Panopsis rubescens	lotus
Papaver curviscapum	lotus
Papaver cylindricum	lotus
Papaver feddei	lotus
Papaver guerlekense	lotus
Papaver laestadianum	lotus
Papaver lisae	lotus
Papaver pseudocanescens	lotus
Papaver strigosum	lotus
Pappobolus microphyllus	lotus
Papulaspora immersa	lotus
Paracynoglossum furcatum	lotus
Paralemnalia clavata	lotus
Paramignya griffithii	lotus
Paraminabea acronocephala	lotus
Parartocarpus venenosa	lotus
Parasenecio auriculata	lotus
Parinari rodolphii	lotus
Parmelia birulae	lotus
Parmelia caperata	lotus
Parmelia cetrarioides	lotus
Parmelia conformata	lotus
Parmelia conspersa	lotus
Parmelia echinocarpa	lotus
Parmelia formosa	lotus
Parmelia kurokawae	lotus
Parmelia latissima	lotus
Parmelia madagascariacea	lotus
Parmelia novomexicana	lotus
Parmelia perlata	lotus
Parmelia piedmontensis	lotus
Parmelia subdissecta	lotus
Parmelia substygia	lotus
Parmelia taractica	lotus
Parmelia tinctoria	lotus
Parmeliopsis halei	lotus
Parmotrema delicatulum	lotus
Parmotrema demethylmicrophyllinicum	lotus
Parmotrema latissimum	lotus
Parmotrema lichexanthonicum	lotus
Parmotrema tsavoense	lotus
Parnassia caroliniana	lotus
Parthenium fruticosum	lotus
Parthenium hispidum	lotus
Parthenium lozanianum	lotus
Parthenium schottii	lotus
Passeriniella obiones	lotus
Pedersenia pulverulenta	lotus
Pedicularis pectinata	lotus
Pelargonium roseum	lotus
Pellia fabbroniana	lotus
Pellina	lotus
Peltigera dilacerata	lotus
Peltigera propagulifera	lotus
Peltigera pruinosa	lotus
Peltigera spuria	lotus
Peltogyne porphyrocardia	lotus
Penepodium complanatum	lotus
Penicillium aculeatum	lotus
Penicillium austrocalifornicum	lotus
Penicillium bainieri	lotus
Penicillium crustaceum	lotus
Penicillium cyaneofulvum	lotus
Penicillium derxii	lotus
Penicillium dodgei	lotus
Penicillium emodense	lotus
Penicillium fructigenum	lotus
Penicillium gilmanii	lotus
Penicillium glaucum	lotus
Penicillium leucopus	lotus
Penicillium purpurogenum	lotus
Penicillium ribis	lotus
Penicillium vanbeymae	lotus
Penstemon glaber var. alpinus	lotus
Penstemon wislizenii	lotus
Pentacalia streptothamna	lotus
Pentaceraster regulus	lotus
Pentanema candidum	lotus
Peperomia campylotropa	lotus
Peperomia filiformis	lotus
Peperomia oreophila	lotus
Perezia hebeclada	lotus
Perisporiopsis melioloides	lotus
Pernettya furens	lotus
Perophora namei	lotus
Persea pyrifolia	lotus
Persicaria alpina	lotus
Persicaria glabrum	lotus
Persicaria spectabilis	lotus
Persicaria stagnina	lotus
Pertusaria albescens var. albescens	lotus
Pertusaria rhodesiaca	lotus
Perymenium discolor	lotus
Peschiera australis	chebi_origins
Pesotum piceae	lotus
Pestalotiopsis oenotherae	lotus
Peteravenia malvaefolia	lotus
Petilium	lotus
Petrosedum pruinatum	lotus
Petrosia hebes	lotus
Petrosia volcano	lotus
Peucedanum decumbens	lotus
Peucedanum macrocarpum	lotus
Peucedanum paniculatum	chebi_origins,lotus
Peucedanum ruthenicum	lotus
Peyssonnelia rosa-marina	lotus
Peziza nivea	lotus
Phaeographis syngraphizans	lotus
Phakellia hooperi	lotus
Phakellia radiata	lotus
Phakettia trachys	lotus
Phalaenopsis leucorrhoda	lotus
Phaleria nisidai	lotus
Phedimus selskanianus	lotus
Phlebodium dictyocallis	lotus
Phlegmariurus acifolius	lotus
Phlegmariurus austrosinicus	lotus
Phlomoides loasifolia	lotus
Phlomoides ostrowskiana	lotus
Phlomoides younghushandii	lotus
Phoebe porosa	chebi_origins
Phoma cassiae	lotus
Phoma empetri	lotus
Phoma linga	lotus
Phomopsis archeri	lotus
Phomopsis cassiae	lotus
Phomopsis paspali	lotus
Phoracantha synonyma	lotus
Phorbas gukhulensis	lotus
Phorbia falcata	lotus
Phorbia geniculata	lotus
Phormidium n.a.	cyanometdb
Phryma leptostachya L.	chebi_origins
Phyla nodiflora minor	lotus
Phyla nodiflora var. minor	lotus
Phyllanthus atropurpureus	lotus
Phyllanthus poilanei	lotus
Phyllanthus puberus	lotus
Phyllodesmium lizardensis	lotus
Phyllopsora haemophaea	lotus
Phyllosticta tabernaemontanae	lotus
Physalis solanaceus	lotus
Physalospora obiones	lotus
Physcia mediterranea	lotus
Physopsis viscida	lotus
Pichia spartinae	lotus
Picradeniopsis schaffneri var. aristata	lotus
Picris spinifera	lotus
Picrorhiza kurroa	lotus
Pilayella littoralis	lotus
Pimpinella monoica	lotus
Pinus japonica	lotus
Pinus longifolia	lotus
Pinus masoni	lotus
Piper acutifolium	chebi_origins,lotus
Piper angustifolium	lotus
Piper futokadsura	chebi_origins
Piper kwashoense	lotus
Piper lamarckianum	lotus
Piper lanatum	lotus
Piper lowong	lotus
Piper miniatum	lotus
Piper neesii	lotus
Piper sanguineispicum	chebi_origins
Piper sumatranum	lotus
Piper taiwanense	lotus
Pipestela candelabra	lotus
Pipestela hooperi	lotus
Pipestela terpenensis	lotus
Pisum sativum var. sativum	lotus
Pittosporum phillyraeoides	lotus
Pityrogramma calomela	lotus
Pityrogramma chrysophylla	lotus
Pityrogramma tartarea	lotus
Placopsis auriculata	lotus
Plagiochila acanthophylla	lotus
Plagiochila killarniensis	lotus
Plagiochila yokogurensis	lotus
Plakinastrella clathrata	lotus
Plakinastrella mammillaris	lotus
Plakortis japonica	lotus
Plakortis lita	lotus
Plakortis nigra	lotus
Plakortis quasiamphiaster	lotus
Plakortis zyggompha	lotus
Planktothrix planktonica	cyanometdb,lotus
Planktothrix; Dolichospermum/Anabaena [Planktothrix]sp.; [Dolichospermum]sp.	cyanometdb
Planktothrix; Dolichospermum/Anabaena [Planktothrix]sp.; [Dolicospermum]sp.	cyanometdb
Planochloris	lotus
Plantago bellardi	lotus
Plantago lacustris	lotus
Platanus hybrida	lotus
Platycelyphium voensis	lotus
Plectonema n.a.	cyanometdb
Plectonema sp.; notatum	cyanometdb
Plectranthus cyaneus	chebi_origins
Plectranthus epilithicus	lotus
Plectranthus garckeanus	lotus
Plectranthus igniarius	lotus
Plectranthus nummularius	chebi_origins
Plectranthus verticillatus	lotus
Plectranthus xanthanthus	lotus
Plectritis ciliosa	lotus
Pleohelicoon richonis	lotus
Pleospora betae	lotus
Pleospora scirpicola	lotus
Plesiocolochirus australis	lotus
Pleurocapsa n.a.	cyanometdb
Plexaura nina	lotus
Plinia pennata	lotus
Plocamiancora igzo	lotus
Plocamium coccineum	lotus
Plocamium corallorhiza	lotus
Plocamium cruciferum	lotus
Plumigorgia terminosclera	lotus
Poacynum armenum	lotus
Poacynum venetum	lotus
Podalyria glauca	lotus
Podosordaria nigripes	lotus
Podostictina endochrysa	lotus
Poecillastra tenuilaminaris	lotus
Pogonatum otaruense	lotus
Pogonospermum ciliare	lotus
Polhillia connatum	lotus
Polhillia waltersii	lotus
Polyalthia harmandii	chebi_origins
Polyalthia jucunda	chebi_origins
Polyalthia nemoralis	chebi_origins
Polyalthia sinclairiana	lotus
Polyalthia thorelii	chebi_origins
Polycarpa clavata	lotus
Polycitor africanus	lotus
Polydora chloropappa	lotus
Polydora serratuloides	chebi_origins
Polydora steetziana	lotus
Polyergus texana	lotus
Polygala dalmaisiana	lotus
Polygala forbesii	lotus
Polygala inexpectata	chebi_origins
Polygala sabulosa	lotus
Polygala senega latifolia	lotus
Polygala telephioides	lotus
Polygala triphylla	lotus
Polygaloides chamaebuxus	lotus
Polygonum lapathifolium var. lapathifolium	lotus
Polygonum mite	lotus
Polyozosia reuteri	lotus
Polypodium pleurosorum	lotus
Polyporus annulatus	lotus
Polyporus dryadeus	lotus
Polyporus hispidus	lotus
Polyporus lipsiensis	lotus
Polysiphonia violaceum	lotus
Polysyncraton cuculliferum	lotus
Polysyncraton lithostrotum	lotus
Pometia eximia	lotus
Pontocypria meridionalis	lotus
Populus hsinganica var. trichorachis	lotus
Populus tristis	lotus
Populus violascens	lotus
Poronia gigantea	lotus
Potebniamyces balsamicola	lotus
Potebniamyces gallicola	lotus
Potentilla candicans	lotus
Potentilla tormentilla	lotus
Potentilla wallichiana	lotus
Premna subscandens	lotus
Presliophytum heucherifolia	lotus
Priestleya	lotus
Priestleya laevigata	lotus
Priestleya umbellifera	lotus
Primula rosea	lotus
Primula × polyantha	lotus
Prittwitzia hymenaea	lotus
Prochloron n.a.	cyanometdb
Prochlorothrix hollundica	cyanometdb
Propionibacterium propionicum	lotus
Propolis (Okinawa, Japan)	chebi_origins
Prosopis fiebrigii	lotus
Prosopis glandulosa var. glandulosa	lotus
Prosopis pugionata	lotus
Protaphis elongata	lotus
Protorhabditis lepida	lotus
Protousnea malacea	lotus
Protousnea poeppigii	lotus
Prunus buergeri	lotus
Prunus ilicifolia var. integrifolia	lotus
Prunus insititia	lotus
Psammaplysilla	lotus
Psammoclemma	lotus
Psathyrella candolleana	lotus
Psathyrella scobinacea	lotus
Psephellus adjaricus	lotus
Psephellus bornmuelleri	lotus
Psephellus hypoleucus	lotus
Pseudanabaena n.a.	cyanometdb
Pseudevernia furfuracea var. ceratea	lotus
Pseudevernia furfuracea var. furfuracea	lotus
Pseudobaccharis spartioides	lotus
Pseudocnus dubiosus	lotus
Pseudocnus koellikeri	lotus
Pseudocyphellaria mougeotiana	lotus
Pseudodistoma arborescens	lotus
Pseudodistoma aureum	lotus
Pseudodistoma cereum	lotus
Pseudodistoma megalarva	lotus
Pseudodistoma novaezelandiae	lotus
Pseudodistoma obscurum	lotus
Pseudodistoma opacum	lotus
Pseudognaphalium pellitum	lotus
Pseudognaphalium schraderi	lotus
Pseudogynoxys pohlii	lotus
Pseudohalonectria adversaria	lotus
Pseudoleptosphaeria etheridgei	lotus
Pseudopegolettia tenella	lotus
Pseudophormidium radiosum	lotus
Pseudosophora alopecuroides	lotus
Pseudovalsella modonia	lotus
Psiadia ceylanica	lotus
Psidium larueotteanum	lotus
Psidium salutare var. pohlianum	lotus
Psilostrophe gnaphalioides	lotus
Psolus eximius	lotus
Psora corallina	lotus
Psoralea effusa	lotus
Psoralea exile	lotus
Psoralea leucantha	lotus
Psoralea oreopolum	lotus
Psoroma allorhizum	lotus
Psoroma caesium	lotus
Psoroma caliginosum	lotus
Psoroma dimorphum	lotus
Psoroma pulchrum	lotus
Psychotria dichroa	lotus
Psychotria klugii	chebi_origins
Psychotria prunifolia	lotus
Pteris arguta	lotus
Pteris australis	lotus
Pteris cristata	lotus
Pteris plumieri	lotus
Pteris plumula	lotus
Pteris sinensis	lotus
Pterocarya pterocarpa	lotus
Pterocephalus pinardi	lotus
Pterocephalus pinardii	lotus
Pteroeides esperi	lotus
Pterospermum lanceolatum	lotus
Pulicaria wightiana	lotus
Pulsatilla occidentalis	lotus
Pulsatilla pratensis	lotus
Punctelia canaliculata	lotus
Punctelia microsticta	lotus
Pycnoclavella kottae	lotus
Pycnoporus sanguineus	lotus
Pyrenula japonica	lotus
Pyrethrum corymbosum	lotus
Pyrophorus pellucens	lotus
Quamoclit pennata	lotus
Quercus oblongata	lotus
Rabdosia inflexa	chebi_origins
Radiocystis feernandoi	cyanometdb
Radula laxiramea	lotus
Radula oyamensis	lotus
Radula variabilis	lotus
Rafnia cuneifolia	lotus
Ramalina africana	lotus
Ramalina asahinana	lotus
Ramalina baltica	lotus
Ramalina boninensis	lotus
Ramalina boulhautiana	lotus
Ramalina cactacearum	lotus
Ramalina canaliculata	lotus
Ramalina carpatica var. teplicskaensis	lotus
Ramalina celastri subsp. celastri	lotus
Ramalina chilensis	lotus
Ramalina continentalis	lotus
Ramalina corymbosa	lotus
Ramalina ecklonii	lotus
Ramalina inflata subsp. inflata	lotus
Ramalina tumidula	lotus
Rana esculenta	lotus
Raspailia arbuscula	lotus
Raspailia pumila	lotus
Rauvolfia balansae var. basicola	lotus
Rauvolfia canescens	chebi_origins
Rauvolfia hirsuta	chebi_origins
Rauvolfia volkensi	chebi_origins
Rauwolfia sellowii	lotus
Rauwolfia sprucei	lotus
Rebutia marsoneri	lotus
Reinwardtiodendron anamalaiense	lotus
Relicina connivens	lotus
Relicina incongrua	lotus
Relicina samoensis	lotus
Renealmia exaltata	lotus
Reniera	lotus
Retiboletus retipes	lotus
Rhamnus hirtellus	lotus
Rhamnus kurdicus	lotus
Rhamnus nepalensis	lotus
Rhamnus punctatus	lotus
Rhamnus thymifolius	lotus
Rhaphisia	lotus
Rhaphisia pallida	lotus
Rhapidostreptus innominatus	lotus
Rhaponticum orientale	lotus
Rheum collinianum	lotus
Rheum cordatum	lotus
Rheum hybridum	lotus
Rhinopetalum	lotus
Rhodococcus equi	lotus
Rhododendron bakeri	lotus
Rhododendron dahuricum	lotus
Rhododendron decipiens	lotus
Rhododendron nilagiricum	lotus
Rhododendron triflorum bauhiniiflorum	lotus
Rhododendron vandeursenii	lotus
Rhodotorula rubra	lotus
Rhymbocarpus neglectus	lotus
Rhynchospora tenuifolia	lotus
Ribes cereum var. cereum	lotus
Ribes maximoviczianum	lotus
Riccia duplex	lotus
Riella affinis	lotus
Rinodina brandii	lotus
Rinodina dissa	lotus
Rinodina thiomela	lotus
Ritterella rete	lotus
Ritterella rubra	lotus
Ritterella sigillinoides	lotus
Ritterella tokioka	lotus
Rivularia firma	lotus
Rivularia n.a.	cyanometdb
Roccella capensis	lotus
Roccellina mollis	lotus
Rolandia coralloides	lotus
Rollinia dolabripetala	lotus
Rosa luciae	lotus
Rosa nisami	lotus
Rosa polliniana	lotus
Rosa pomifera	lotus
Roseofomes	lotus
Rosmarinus eriocalyx	lotus
Rosmarinus tomentosus	lotus
Rothmaleria granatensis	lotus
Rubus adenotrichus	lotus
Rubus babae	lotus
Rubus calycinoides	lotus
Rubus foliolatus	lotus
Rubus hiraseanus	lotus
Rubus masakii	lotus
Rubus nigakuma	lotus
Rubus nikaii	lotus
Rubus ohmineanus	lotus
Rubus rigidus var. camerunensis	lotus
Rubus rosaefolius	lotus
Rubus sanguineus	lotus
Rubus tawadanus	lotus
Rubus toyorensis	lotus
Rudbeckia fulgida var. speciosa	lotus
Ruellia rosea	lotus
Rumex aegyptiacus	lotus
Rungia repens	lotus
Rutstroemia pseudosydowiana	lotus
Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	bindingdb
Safran	lotus
Salacia verrucosa	lotus
Salileptolyngbya n.a.	cyanometdb
Salix hsinganica	lotus
Salix pentandroides	lotus
Salsola foetida	lotus
Salvia aratocensis	chebi_origins
Salvia ballotaeflora	lotus
Salvia beckeri	lotus
Salvia cana	lotus
Salvia cespitosa	lotus
Salvia cilicica	lotus
Salvia dorrii var. incana	lotus
Salvia fugax	lotus
Salvia garedjii	lotus
Salvia granatensis	lotus
Salvia grandiflora	lotus
Salvia ianthina	lotus
Salvia jordanii	lotus
Salvia kuznetzovii	lotus
Salvia oxyodon	lotus
Salvia palaefolia	lotus
Salvia seravschanica	lotus
Salvia simonkaiana	lotus
Salvia tonalensis	lotus
